Contrast,shape,cluster,sphere,roi,task,acc,beta
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,2.283142292
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,2.47901038
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,1.246171806
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.71843845
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.836724576
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,-0.493886189
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.949115861
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,-0.219161426
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.466101256
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.682306434
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,-0.534455066
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.768553825
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.220320828
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.288947255
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,1.918710932
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,-0.007652487
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.458984602
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,1.877244573
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.229716395
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.545021496
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.037399629
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,-0.594905787
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,-0.191398426
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,hit,0.111564196
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,2.200240875
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,2.429766384
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,1.023019934
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,0.757344711
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,0.627923971
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,-0.577768171
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,0.548119627
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,-0.235739778
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,0.357152739
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,0.370637182
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,-0.781683681
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,1.070900119
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,0.23555765
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,-0.19652712
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,1.999476768
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,-0.108365109
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,0.140742228
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,2.071195275
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,0.247136708
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,0.530609306
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,-0.166768448
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,-0.558787112
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,-0.149045805
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,ex,cr,0.092966174
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,hit,1.724245593
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,hit,1.152079035
EX>CM Hit>CR,sphere,FALSE,TRUE,Left Hipp,cm,hit,1.208476527
