correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,runsVec,subs
1,0.25195,0.74805,2,0.74805,0.25195,0.4961,2,0.24805,1,-1.0882,1.0882,1,1
1,0.21182,0.78818,2,0.78818,0.21182,0.57636,2,0.28818,1,-1.314,1.314,1,1
0,0.85806,0.14194,2,0.14194,0.85806,-0.71611,1,-0.35806,1,1.7992,-1.7992,1,1
0,0.79817,0.20183,2,0.20183,0.79817,-0.59634,1,-0.29817,1,1.3749,-1.3749,1,1
0,0.6546,0.3454,2,0.3454,0.6546,-0.30919,1,-0.1546,1,0.6393,-0.6393,1,1
1,0.36516,0.63484,2,0.63484,0.36516,0.26968,2,0.13484,1,-0.55303,0.55303,1,1
0,0.59479,0.40521,2,0.40521,0.59479,-0.18958,1,-0.094791,1,0.38381,-0.38381,1,1
0,0.72382,0.27618,2,0.27618,0.72382,-0.44764,1,-0.22382,1,0.9635,-0.9635,1,1
1,0.38286,0.61714,2,0.61714,0.38286,0.23429,2,0.11714,1,-0.47744,0.47744,1,1
0,0.86506,0.13494,2,0.13494,0.86506,-0.73011,1,-0.36506,1,1.8579,-1.8579,1,1
0,0.28034,0.71966,1,0.28034,0.71966,-0.43932,2,-0.21966,1,-0.94278,-0.94278,1,1
0,0.25189,0.74811,1,0.25189,0.74811,-0.49622,2,-0.24811,1,-1.0886,-1.0886,1,1
1,0.80033,0.19967,1,0.80033,0.19967,0.60066,1,0.30033,1,1.3884,1.3884,1,1
1,0.77976,0.22024,1,0.77976,0.22024,0.55952,1,0.27976,1,1.2643,1.2643,1,1
1,0.5364,0.4636,1,0.5364,0.4636,0.072791,1,0.036396,1,0.14584,0.14584,1,1
1,0.71261,0.28739,1,0.71261,0.28739,0.42521,1,0.21261,1,0.90807,0.90807,1,1
0,0.44686,0.55314,1,0.44686,0.55314,-0.10628,2,-0.053139,1,-0.21336,-0.21336,1,1
1,0.39052,0.60948,2,0.60948,0.39052,0.21896,2,0.10948,1,-0.44512,0.44512,1,1
1,0.42389,0.57611,2,0.57611,0.42389,0.15222,2,0.076108,1,-0.30682,0.30682,1,1
0,0.54086,0.45914,2,0.45914,0.54086,-0.081717,1,-0.040859,1,0.1638,-0.1638,1,1
0,0.60298,0.39702,2,0.39702,0.60298,-0.20595,1,-0.10298,1,0.41788,-0.41788,1,1
0,0.61602,0.38398,2,0.38398,0.61602,-0.23204,1,-0.11602,1,0.47269,-0.47269,1,1
0,0.53526,0.46474,2,0.46474,0.53526,-0.070516,1,-0.035258,1,0.14127,-0.14127,1,1
0,0.53376,0.46624,2,0.46624,0.53376,-0.067526,1,-0.033763,1,0.13526,-0.13526,1,1
0,0.62389,0.37611,2,0.37611,0.62389,-0.24777,1,-0.12389,1,0.50608,-0.50608,1,1
0,0.52757,0.47243,2,0.47243,0.52757,-0.055137,1,-0.027569,1,0.11039,-0.11039,1,1
0,0.67588,0.32412,2,0.32412,0.67588,-0.35175,1,-0.17588,1,0.73488,-0.73488,1,1
1,0.50282,0.49718,1,0.50282,0.49718,0.0056475,1,0.0028237,1,0.011295,0.011295,1,1
0,0.48289,0.51711,1,0.48289,0.51711,-0.034214,2,-0.017107,1,-0.068456,-0.068456,1,1
1,0.56648,0.43352,1,0.56648,0.43352,0.13296,1,0.066481,1,0.26751,0.26751,1,1
1,0.67848,0.32152,1,0.67848,0.32152,0.35695,1,0.17848,1,0.74678,0.74678,1,1
1,0.60792,0.39208,1,0.60792,0.39208,0.21583,1,0.10792,1,0.43857,0.43857,1,1
1,0.61886,0.38114,1,0.61886,0.38114,0.23772,1,0.11886,1,0.48472,0.48472,1,1
0,0.59055,0.40945,2,0.40945,0.59055,-0.1811,1,-0.090549,1,0.36624,-0.36624,1,1
0,0.64071,0.35929,2,0.35929,0.64071,-0.28143,1,-0.14071,1,0.57846,-0.57846,1,1
1,0.49766,0.50234,2,0.50234,0.49766,0.0046898,2,0.0023449,1,-0.0093798,0.0093798,1,1
0,0.5968,0.4032,2,0.4032,0.5968,-0.1936,1,-0.096798,1,0.39214,-0.39214,1,1
0,0.73758,0.26242,2,0.26242,0.73758,-0.47517,1,-0.23758,1,1.0334,-1.0334,1,1
