train_test,mask,conds,tr,xval_it,name,sub,auc
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s01,0.64273
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s03,0.72417
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s04,0.67439
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s05,0.57485
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s06,0.88691
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s07,0.5441
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s08,0.86258
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s09,0.96073
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s10,0.94035
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s12,0.8936
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s13,0.73743
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s14,0.7524
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s15,0.8736
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s16,0.76482
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s17,0.82126
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s18,0.84455
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s19,0.92654
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s20,0.65442
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s21,0.85752
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s22,0.71993
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s23,0.87284
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s24,0.82365
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s25,0.61463
"CM,4fold",SEPT...,hit v cr,late,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s26,0.84411
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s01,0.54499
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s03,0.57383
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s04,0.60738
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s05,0.72075
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s06,0.93135
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s07,0.55502
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s08,0.91466
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s09,0.92774
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s10,0.95472
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s12,0.88536
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s13,0.79205
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s14,0.67637
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s15,0.78984
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s16,0.73948
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s17,0.73039
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s18,0.77947
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s19,0.93084
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s20,0.39995
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s21,0.7449
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s22,0.67197
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s23,0.92185
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s24,0.76109
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s25,0.59002
"CM,4fold",SEPT...,hit v cr,6,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,s26,0.7047
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s01,0.61608
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s03,0.72703
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s04,0.72012
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s05,0.64732
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s06,0.91757
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s07,0.67012
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s08,0.92471
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s09,0.97564
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s10,0.9764
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s12,0.92594
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s13,0.80348
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s14,0.71205
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s15,0.8967
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s16,0.76946
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s17,0.82165
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s18,0.78149
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s19,0.96664
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s20,0.42238
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s21,0.84776
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s22,0.77314
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s23,0.92484
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s24,0.82336
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s25,0.6411
"CM,4fold",SEPT...,hit v cr,5,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s26,0.82084
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s01,0.7374
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s03,0.78173
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s04,0.63649
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s05,0.5177
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s06,0.91208
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s07,0.55592
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s08,0.89068
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s09,0.95516
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s10,0.91985
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s12,0.91026
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s13,0.73277
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s14,0.84298
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s15,0.86966
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s16,0.74936
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s17,0.757
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s18,0.85529
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s19,0.93584
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s20,0.57594
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s21,0.901
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s22,0.72557
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s23,0.85614
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s24,0.80346
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s25,0.62078
"CM,4fold",SEPT...,hit v cr,4,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s26,0.78713
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s01,0.6025
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s03,0.75722
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s04,0.532
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s05,0.53345
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s06,0.62124
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s07,0.36928
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s08,0.67225
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s09,0.87569
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s10,0.76939
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s12,0.78479
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s13,0.5877
