name,mean_auc,sem_auc,subNo,auc,xvalIterReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test
conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.7639,0.031316,s01,0.60038,2,hit;cr,0;0;0;0;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.7639,0.031316,s03,0.52314,2,hit;cr,0;0;0;0;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.7639,0.031316,s04,0.60907,2,hit;cr,0;0;0;0;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.7639,0.031316,s05,0.8007,2,hit;cr,0;0;0;0;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.7639,0.031316,s06,0.7816,2,hit;cr,0;0;0;0;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.7639,0.031316,s07,0.64163,2,hit;cr,0;0;0;0;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.7639,0.031316,s08,0.91959,2,hit;cr,0;0;0;0;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.7639,0.031316,s09,0.94235,2,hit;cr,0;0;0;0;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.7639,0.031316,s10,0.95058,2,hit;cr,0;0;0;0;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.7639,0.031316,s12,0.95899,2,hit;cr,0;0;0;0;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm,10,0,0;0;0;0;0;1,,
