xval iterations reported,name,mean_auc,sem_auc,s01_auc,s03_auc,s04_auc,s05_auc,s06_auc,s07_auc,s08_auc,s09_auc,s10_auc,s12_auc,s13_auc,s14_auc,s15_auc,s16_auc,s17_auc,s18_auc,s19_auc,s20_auc,s21_auc,s22_auc,s23_auc,s24_auc,s25_auc,s26_auc
2,scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50461,0.0040421,0.53431,0.49431,0.49726,0.52919,0.50635,0.53745,0.49533,0.49908,0.47962,0.51883,0.48119,0.4991,0.5026,0.51327,0.50373,0.51856,0.51586,0.46529,0.52569,0.46497,0.52728,0.50551,0.4879,0.50789
2,scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50058,0.0033886,0.51608,0.48247,0.50895,0.49591,0.47816,0.518,0.47447,0.50822,0.49864,0.51247,0.50215,0.52487,0.50173,0.48223,0.51188,0.48442,0.49095,0.53194,0.49634,0.53308,0.48221,0.49219,0.4921,0.49445
2,scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.5013,0.0038665,0.49908,0.47434,0.51336,0.49109,0.52557,0.46106,0.49865,0.51336,0.5027,0.49087,0.47803,0.49365,0.4782,0.54526,0.50208,0.49134,0.49271,0.52571,0.5064,0.52435,0.51537,0.49124,0.50672,0.51008
2,scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49858,0.0036235,0.50993,0.48015,0.49854,0.48666,0.53196,0.49531,0.53408,0.46562,0.48806,0.4923,0.49884,0.51886,0.49436,0.49237,0.5004,0.49774,0.51428,0.47932,0.50372,0.51157,0.48686,0.46929,0.49111,0.52466
2,scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49961,0.0029228,0.49658,0.51572,0.49521,0.48948,0.5031,0.50944,0.51986,0.52772,0.50208,0.50513,0.48207,0.49504,0.5041,0.46807,0.48772,0.5272,0.48457,0.48435,0.49819,0.5027,0.50769,0.48569,0.50063,0.49831
2,scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te1__0__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.4968,0.002948,0.48297,0.49442,0.48376,0.52265,0.49426,0.51035,0.47701,0.52109,0.4869,0.49762,0.47579,0.49455,0.51117,0.46647,0.49231,0.50608,0.49843,0.49612,0.50136,0.50416,0.49189,0.49352,0.49712,0.52324
2,scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49934,0.0041121,0.5181,0.47674,0.48241,0.53126,0.53577,0.51712,0.52089,0.51584,0.51275,0.48445,0.4753,0.50115,0.4527,0.49665,0.49283,0.47281,0.51326,0.48637,0.50898,0.49416,0.48608,0.49605,0.51367,0.49889
2,scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50012,0.0035399,0.50578,0.48718,0.50001,0.51781,0.49399,0.49996,0.50436,0.48393,0.5165,0.50656,0.48215,0.48405,0.52467,0.47681,0.48867,0.51049,0.4819,0.53659,0.50896,0.49087,0.52708,0.47182,0.51649,0.48638
2,scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__1__0__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49299,0.0028441,0.5052,0.4842,0.48799,0.50113,0.47949,0.48169,0.48383,0.49477,0.4948,0.49682,0.49829,0.5012,0.46109,0.52743,0.49968,0.48822,0.47956,0.48438,0.50397,0.51172,0.47549,0.51001,0.49429,0.48651
2,scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__1__0__0__0_te0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49603,0.0042436,0.52048,0.51663,0.48414,0.50043,0.48494,0.47197,0.49487,0.52511,0.44064,0.49492,0.49257,0.50941,0.48617,0.47606,0.49446,0.51989,0.47299,0.53237,0.49732,0.50808,0.48266,0.51801,0.49916,0.4815
