name,mean_auc,sem_auc,subNo,auc,xvalIterReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test,sweep ,sameTrs,trainTr3
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s01,0.43285,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s03,0.46455,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s04,0.40291,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s05,0.32894,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s06,0.49648,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s07,0.42546,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s08,0.49688,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s09,0.49958,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s10,0.46601,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roirleftMtlMask_tbm112514.mat,0.47429,0.013368,s12,0.50135,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;0;1,TRUE,FALSE,TRUE
