name,mean_auc,sem_auc,subNo,auc,xvalIterReported,runsReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test
conds_cmHitVcmCr_trTe1_2_3_4_1_2_3_4_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.78781,0.023559,s01,0.69319,,,cmHit;cmCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,0,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
conds_cmHitVcmCr_trTe1_2_3_4_1_2_3_4_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.78781,0.023559,s03,0.73945,,,cmHit;cmCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,0,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
conds_cmHitVcmCr_trTe1_2_3_4_1_2_3_4_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.78781,0.023559,s04,0.69283,,,cmHit;cmCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,0,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
conds_cmHitVcmCr_trTe1_2_3_4_1_2_3_4_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.78781,0.023559,s05,0.59191,,,cmHit;cmCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,0,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
conds_cmHitVcmCr_trTe1_2_3_4_1_2_3_4_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.78781,0.023559,s06,0.87753,,,cmHit;cmCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,0,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
conds_cmHitVcmCr_trTe1_2_3_4_1_2_3_4_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.78781,0.023559,s07,0.56002,,,cmHit;cmCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,0,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
conds_cmHitVcmCr_trTe1_2_3_4_1_2_3_4_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.78781,0.023559,s08,0.86734,,,cmHit;cmCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,0,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
conds_cmHitVcmCr_trTe1_2_3_4_1_2_3_4_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.78781,0.023559,s09,0.96639,,,cmHit;cmCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,0,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
conds_cmHitVcmCr_trTe1_2_3_4_1_2_3_4_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.78781,0.023559,s10,0.94389,,,cmHit;cmCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,0,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
conds_cmHitVcmCr_trTe1_2_3_4_1_2_3_4_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.78781,0.023559,s12,0.90174,,,cmHit;cmCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,0,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
