name,mean_auc,sem_auc,subNo,auc,xvalIterReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test,sweep,sameTrs 
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roirleftAngMask_tbm112514.mat,0.50176,0.022305,s01,0.50158,2,hit;cr,1;1;1;1;2;2;2;2,rleftAngMask_tbm112514.nii,10,0,,0;0;0;0;0;1,0;0;0;0;0;1,FALSE,TRUE
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roirleftAngMask_tbm112514.mat,0.50176,0.022305,s03,0.45083,2,hit;cr,1;1;1;1;2;2;2;2,rleftAngMask_tbm112514.nii,10,0,,0;0;0;0;0;1,0;0;0;0;0;1,FALSE,TRUE
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roirleftAngMask_tbm112514.mat,0.50176,0.022305,s04,0.37569,2,hit;cr,1;1;1;1;2;2;2;2,rleftAngMask_tbm112514.nii,10,0,,0;0;0;0;0;1,0;0;0;0;0;1,FALSE,TRUE
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roirleftAngMask_tbm112514.mat,0.50176,0.022305,s05,0.63197,2,hit;cr,1;1;1;1;2;2;2;2,rleftAngMask_tbm112514.nii,10,0,,0;0;0;0;0;1,0;0;0;0;0;1,FALSE,TRUE
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roirleftAngMask_tbm112514.mat,0.50176,0.022305,s06,0.47638,2,hit;cr,1;1;1;1;2;2;2;2,rleftAngMask_tbm112514.nii,10,0,,0;0;0;0;0;1,0;0;0;0;0;1,FALSE,TRUE
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roirleftAngMask_tbm112514.mat,0.50176,0.022305,s07,0.43354,2,hit;cr,1;1;1;1;2;2;2;2,rleftAngMask_tbm112514.nii,10,0,,0;0;0;0;0;1,0;0;0;0;0;1,FALSE,TRUE
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roirleftAngMask_tbm112514.mat,0.50176,0.022305,s08,0.40665,2,hit;cr,1;1;1;1;2;2;2;2,rleftAngMask_tbm112514.nii,10,0,,0;0;0;0;0;1,0;0;0;0;0;1,FALSE,TRUE
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roirleftAngMask_tbm112514.mat,0.50176,0.022305,s09,0.26707,2,hit;cr,1;1;1;1;2;2;2;2,rleftAngMask_tbm112514.nii,10,0,,0;0;0;0;0;1,0;0;0;0;0;1,FALSE,TRUE
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roirleftAngMask_tbm112514.mat,0.50176,0.022305,s10,0.33266,2,hit;cr,1;1;1;1;2;2;2;2,rleftAngMask_tbm112514.nii,10,0,,0;0;0;0;0;1,0;0;0;0;0;1,FALSE,TRUE
conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roirleftAngMask_tbm112514.mat,0.50176,0.022305,s12,0.66797,2,hit;cr,1;1;1;1;2;2;2;2,rleftAngMask_tbm112514.nii,10,0,,0;0;0;0;0;1,0;0;0;0;0;1,FALSE,TRUE
