name,mean_auc,sem_auc,subNo,auc,xvalIterReported,runsReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s01,0.49656,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s03,0.46186,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s04,0.49596,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s05,0.48401,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s06,0.54619,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s07,0.47212,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s08,0.51091,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s09,0.52179,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s10,0.51699,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s12,0.4805,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s13,0.48967,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s14,0.50935,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49857,0.00426,s15,0.48692,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0.33;0.34;0.33;0,0;0;0.33;0.34;0.33;0
