name,mean_auc,sem_auc,subNo,auc,xvalIterReported,runsReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test,sameTrs
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s01,0.48867,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s03,0.49559,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s04,0.51097,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s05,0.47408,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s06,0.50237,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s07,0.50001,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s08,0.50824,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s09,0.50328,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s10,0.49682,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s12,0.49308,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50059,0.0039912,s13,0.53109,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1,TRUE
