name,mean_auc,sem_auc,subNo,auc,xvalIterReported,runsReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test
scrambled_conds_exHitVexCr_trTe1_2_3_4_1_2_3_4_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49877,0.0064345,s01,0.52316,,,exHit;exCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1
scrambled_conds_exHitVexCr_trTe1_2_3_4_1_2_3_4_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49877,0.0064345,s03,0.4955,,,exHit;exCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1
scrambled_conds_exHitVexCr_trTe1_2_3_4_1_2_3_4_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49877,0.0064345,s04,0.5152,,,exHit;exCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1
scrambled_conds_exHitVexCr_trTe1_2_3_4_1_2_3_4_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49877,0.0064345,s05,0.52172,,,exHit;exCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1
scrambled_conds_exHitVexCr_trTe1_2_3_4_1_2_3_4_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49877,0.0064345,s06,0.50724,,,exHit;exCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1
scrambled_conds_exHitVexCr_trTe1_2_3_4_1_2_3_4_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49877,0.0064345,s07,0.49803,,,exHit;exCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1
scrambled_conds_exHitVexCr_trTe1_2_3_4_1_2_3_4_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49877,0.0064345,s08,0.51169,,,exHit;exCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1
scrambled_conds_exHitVexCr_trTe1_2_3_4_1_2_3_4_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49877,0.0064345,s09,0.49364,,,exHit;exCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1
scrambled_conds_exHitVexCr_trTe1_2_3_4_1_2_3_4_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49877,0.0064345,s10,0.516,,,exHit;exCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1
scrambled_conds_exHitVexCr_trTe1_2_3_4_1_2_3_4_trWtr0__0__0__0__0__1_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49877,0.0064345,s12,0.53362,,,exHit;exCr,1;2;3;4;1;2;3;4,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;0;1,0;0;0;0;0;1
