name,mean_auc,sem_auc,subNo,auc,xvalIterReported,runsReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50747,0.014022,s01,0.66072,2,,exHit;exCr,1;1;2;2;1;1;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,,0;0;1;0;0;0,0;0;0;0;0;1
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50747,0.014022,s03,0.55547,2,,exHit;exCr,1;1;2;2;1;1;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,,0;0;1;0;0;0,0;0;0;0;0;1
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50747,0.014022,s04,0.45394,2,,exHit;exCr,1;1;2;2;1;1;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,,0;0;1;0;0;0,0;0;0;0;0;1
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50747,0.014022,s05,0.44953,2,,exHit;exCr,1;1;2;2;1;1;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,,0;0;1;0;0;0,0;0;0;0;0;1
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50747,0.014022,s06,0.51976,2,,exHit;exCr,1;1;2;2;1;1;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,,0;0;1;0;0;0,0;0;0;0;0;1
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50747,0.014022,s07,0.4369,2,,exHit;exCr,1;1;2;2;1;1;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,,0;0;1;0;0;0,0;0;0;0;0;1
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50747,0.014022,s08,0.56699,2,,exHit;exCr,1;1;2;2;1;1;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,,0;0;1;0;0;0,0;0;0;0;0;1
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50747,0.014022,s09,0.55203,2,,exHit;exCr,1;1;2;2;1;1;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,,0;0;1;0;0;0,0;0;0;0;0;1
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50747,0.014022,s10,0.4875,2,,exHit;exCr,1;1;2;2;1;1;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,,0;0;1;0;0;0,0;0;0;0;0;1
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50747,0.014022,s12,0.50352,2,,exHit;exCr,1;1;2;2;1;1;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,,0;0;1;0;0;0,0;0;0;0;0;1
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50747,0.014022,s13,0.5139,2,,exHit;exCr,1;1;2;2;1;1;2;2,SEPT09_MVPA_MASK_resliced4mm,10,0,,0;0;1;0;0;0,0;0;0;0;0;1
