race,id,overall_d,overall_pr,ex_d,ex_pr,cm_d,cm_pr
EA,1,1.218329399,0.455,1.055808535,0.4,1.389262754,0.51
EA,3,1.090832578,0.405,1.08695288,0.41,1.105441272,0.4
AA,4,0.571791401,0.225,0.716917587,0.28,0.429721268,0.17
EA,5,0.676978878,0.265,0.854309141,0.33,0.508227511,0.2
EA,6,0.693260269,0.27,1.769736534,0.61,-0.175703583,-0.07
EA,7,0.690801255,0.27,0.881170814,0.34,0.506864011,0.2
AA,8,0.990934836,0.355,0.831490155,0.3,1.156058732,0.41
EA,9,1.947180006,0.66,2.220986003,0.73,1.709232636,0.59
AA,10,1.323348083,0.485,1.913833641,0.65,0.83618861,0.32
EA,12,1.348294143,0.495,1.560833902,0.55,1.167745918,0.44
AA,13,1.709434178,0.56,2.108158314,0.65,1.379738232,0.47
EA,14,0.838768231,0.325,1.256158396,0.47,0.455693199,0.18
EA,15,1.003557642,0.36,1.157513681,0.43,0.868796536,0.29
EA,16,0.378360054,0.15,0.482822562,0.19,0.279319034,0.11
EA,17,1.643228048,0.58,1.757828299,0.6,1.552386045,0.56
EA,18,0.635734804,0.245,0.56813252,0.22,0.704353935,0.27
AA,19,1.158116369,0.405,1.054598974,0.37,1.263978366,0.44
AA,20,0.208946302,0.08,0.28041188,0.11,0.135845453,0.05
AA,21,2.138440958,0.715,2.306847461,0.75,1.990598643,0.68
EA,22,1.282266671,0.475,1.337471581,0.49,1.230703076,0.46
EA,23,1.402296808,0.51,1.439765601,0.52,1.366021746,0.5
EA,24,1.602119891,0.57,1.793261383,0.63,1.465639807,0.51
AA,25,1.389262754,0.51,1.355278254,0.49,1.445149412,0.53
EA,26,0.896256602,0.345,0.755278199,0.29,1.049235067,0.4
