AA_Explicit_Hit,AA_Explicit_Miss,EA_Explicit_Hit,EA_Explicit_Miss,AA_Explicit_CR,AA_Explicit_FA,EA_Explicit_CR,EA_Explicit_FA,AA_CM_Hit,AA_CM_Miss,EA_CM_Hit,EA_CM_Miss,AA_CM_CR,AA_CM_FA,EA_CM_CR,EA_CM_FA,leadout_instructions
0.32564,-0.72439,-0.41828,-0.34964,-0.46268,-0.44474,-0.53842,-0.46489,0.52557,-0.042791,0.27163,0.23907,0.54885,-0.52398,0.69387,-0.07126,0.36537
-2.96,-2.1521,-1.9894,-2.7298,-2.5197,-3.4963,-2.3711,-3.6105,-1.3708,-1.7548,-1.6885,-2.2876,-1.526,-1.192,-1.667,-1.2605,-0.14317
-1.39,-2.453,-1.0242,-1.2712,-1.5213,-1.3459,-1.6872,-1.4924,-1.3721,-1.2888,-1.1813,-1.6456,-0.90198,-1.9328,-1.2841,-1.463,-0.048571
-2.0407,-2.088,-2.224,-0.91247,-1.123,-1.4678,-1.8026,-3.3697,-2.0036,-2.1424,-1.5472,-0.95157,-1.2665,-1.3419,-1.1899,-1.0553,-0.47401
-2.2626,-3.1788,-2.052,-4.2778,-2.8679,-3.4634,-3.1715,-4.5965,-2.9653,-2.847,-2.9122,-2.5465,-2.1811,-3.1556,-2.3213,-2.5723,-0.38183
-0.80068,-1.4643,-1.0213,-1.1878,-0.98645,-0.8732,-1.0471,-1.0821,-1.0287,-0.35326,-0.28921,-0.0594,0.46559,-0.21894,-0.60074,-0.76912,-0.067045
-0.72826,-0.90641,0.076157,-1.006,-1.7608,-0.64261,-1.3667,-2.1511,-1.0749,-0.23598,-1.9924,-1.1862,-0.54162,-0.73675,-1.1196,-1.6642,-0.21073
-0.041009,-1.9961,0.031119,-1.0884,-1.1542,-1.5009,-1.2892,-3.0046,-2.5668,-2.2799,-1.9982,-1.9506,-2.0364,-2.715,-1.8259,-2.5192,-0.60076
0.28468,1.8043,0.80523,0.90598,0.41594,1.28,0.84407,1.185,-0.31828,-1.0215,-0.35062,0.29982,-0.051045,-0.41447,0.11057,0.19012,0.58536
-1.6573,-1.2221,-1.6106,-1.8982,-2.4135,-2.7478,-2.6527,-1.9247,-1.5465,-1.5937,-1.6931,-0.94476,-1.3016,-2.1818,-0.43929,-1.6081,-0.24624
-1.4111,-2.2209,-1.9751,-2.2156,-3.0015,-2.5634,-1.7997,-1.7284,-0.98569,-1.4142,-1.2835,-0.55485,-0.99003,-0.32268,-0.66276,-0.85792,0.083424
-0.073256,0.7782,-0.28402,-0.23953,0.16489,-0.66569,0.13334,0.4405,-0.79329,0.33209,-0.64104,0.14086,0.89635,-0.013457,0.43479,0.089616,-0.55642
-1.0972,-0.44284,-0.10017,-0.44727,-0.41496,-0.81519,-0.48909,-0.0090574,0.067821,1.2949,0.44298,1.7696,1.1515,0.76422,1.5844,2.1911,0.0098505
-1.8364,-1.9299,-1.7086,-1.7621,-2.7592,-2.6968,-3.7411,-2.3223,-1.7713,-0.82913,-1.2263,-2.8294,-2.361,-2.2469,0.43126,-2.5296,-0.2058
-1.5093,-1.8546,-0.64666,-2.0732,-1.6913,-2.6283,-0.87615,-2.3618,-0.66737,-1.5823,-0.45276,0.025553,-0.815,-2.02,0.16986,-0.83362,0.11005
-1.8815,-1.2376,-1.3627,-3.5246,-3.1132,-2.5129,-2.0782,-1.8309,-2.1015,-1.6336,-1.622,-1.5882,-0.87746,-2.2165,-0.58052,-1.3029,-0.13925
-0.73235,-0.92307,-0.98996,-1.385,-0.94477,1.2864,-0.66564,-1.89,-0.25678,-0.36997,-1.44,-0.88558,-0.39413,0.48391,-0.27406,-2.2245,-0.38599
1.2485,1.0681,3.2367,3.0575,3.4102,2.0496,3.6974,3.1669,1.624,3.4923,4.5864,4.3599,3.1796,2.4037,2.9556,2.1753,1.2797
0.26162,1.2641,0.7809,-1.4145,1.149,-0.77937,-0.00042025,-0.038821,-0.23637,0.23568,-0.27864,-0.51816,0.52154,0.54382,0.21939,-0.68349,0.21538
-0.35988,0.10513,0.85457,-0.40226,0.46645,-0.074773,0.79121,0.037263,1.4901,0.88065,1.5813,1.4218,1.5166,1.4021,1.0462,1.9632,0.7355
-2.4643,-2.8677,-2.7648,-2.9484,-2.6136,-2.9193,-2.687,-3.0345,-2.4962,-2.8125,-3.1259,-3.9495,-2.9609,-2.9908,-2.251,-3.1822,-0.22738
-4.6357,-7.4197,-4.7563,-6.1055,-5.63,-4.2524,-5.076,-6.6349,-3.9855,-5.0311,-4.6434,-4.6312,-3.1313,-3.7813,-3.5529,-0.39068,-1.501
-1.4655,-2.4624,-1.7563,-2.7808,-1.8032,-2.8858,-1.916,-2.5859,-2.4612,-1.9657,-2.0549,-2.6487,-1.8539,-2.5009,-1.9832,0.17702,0.7472
-0.28048,-1.3159,-0.70997,-2.1703,-1.8159,-1.3676,-1.398,-0.76607,-1.708,-0.52515,-1.7739,-0.67344,-0.93235,-1.8413,0.38304,-1.3479,-0.79047
