AA_Explicit_Hit,AA_Explicit_Miss,EA_Explicit_Hit,EA_Explicit_Miss,AA_Explicit_CR,AA_Explicit_FA,EA_Explicit_CR,EA_Explicit_FA,AA_CM_Hit,AA_CM_Miss,EA_CM_Hit,EA_CM_Miss,AA_CM_CR,AA_CM_FA,EA_CM_CR,EA_CM_FA,leadout_instructions
4.9303,4.0437,4.7977,5.0201,4.7189,4.477,4.8918,5.3175,5.2534,4.9829,6.164,5.6091,4.8263,5.7463,5.4265,5.0353,1.3905
2.7751,2.9557,2.939,2.4388,2.74,2.9097,2.9626,2.0304,2.1504,1.4623,2.1326,1.8518,2.538,3.0624,1.5061,1.6458,0.39836
3.0231,3.0344,3.1692,2.7859,3.0399,2.922,3.0515,2.7543,2.4801,2.3179,2.5644,2.5439,2.3239,2.3322,2.4565,2.5144,0.72547
0.57379,0.47128,0.4206,0.60999,0.76917,0.27658,0.53746,0.61612,-0.21872,-0.060631,0.11008,0.22809,-0.27878,-0.14866,-0.0084578,-0.30965,0.35679
1.7139,1.2504,1.8856,1.0048,1.5578,1.5202,1.6587,1.1404,1.887,1.4812,1.6587,1.2754,1.3164,1.758,1.6124,2.0545,0.55212
0.93852,-0.2189,0.79849,0.55225,0.78814,1.0138,0.73812,0.43144,1.4319,1.143,0.93417,1.1015,1.3713,0.94105,1.0398,1.7892,0.28001
3.4223,3.1613,3.4782,3.2718,3.1066,3.4847,3.1282,3.2864,2.1543,1.4392,1.323,1.0741,1.4902,1.9946,0.63879,2.786,0.63215
1.8991,2.1932,1.4484,1.9418,1.9728,1.8779,1.575,1.5274,1.855,1.1857,2.1322,1.3645,1.5104,1.283,1.3121,2.9863,0.633
1.7566,2.0244,1.8142,2.2685,1.6063,2.1699,1.9323,1.9873,2.4715,2.0533,2.1581,1.4746,1.364,2.4627,1.3697,2.3603,0.78709
0.65725,0.95394,0.61732,0.90402,0.77238,0.57486,0.52648,0.21983,0.78195,0.79185,0.94322,0.29215,0.41321,0.81405,0.61911,1.2351,0.27613
2.0765,0.98656,2.0253,1.3578,1.2684,2.0986,1.558,1.8919,2.3168,1.4206,1.9652,1.4672,1.3922,2.3661,1.2507,1.3366,0.58895
1.7368,2.4487,1.6662,2.1647,1.7546,1.7095,1.5884,1.7496,1.8728,1.3897,1.6042,1.3694,1.3217,1.4728,1.1544,1.5034,0.54199
1.485,1.4856,1.5451,1.0714,1.1215,0.73752,0.97415,2.1509,2.3998,0.84846,1.9671,0.73429,1.2246,1.9841,0.86999,2.2404,0.39069
1.8988,2.0137,1.9471,1.6709,1.8611,1.6802,1.2527,2.0853,2.6298,1.9846,2.3136,1.9388,1.3137,1.9294,1.9103,1.7818,0.34046
0.92182,0.33578,1.0925,1.2845,0.71113,1.0575,1.0958,1.1755,1.1712,0.99333,0.59402,0.56583,0.28981,-0.1551,0.28166,0.76715,0.41686
1.5478,1.536,1.1866,1.3517,1.2235,0.56962,1.1647,1.4988,1.2746,1.9549,1.9339,1.5156,1.7775,1.4847,1.405,2.0306,0.89817
0.98152,0.82554,0.90933,0.34091,0.88244,0.85676,0.43363,0.9484,1.1596,-0.075487,0.62196,0.16367,0.24574,0.90122,0.14916,0.018945,0.36138
3.6079,3.6742,4.8745,3.8668,4.2965,4.0018,4.1185,4.4002,3.9363,4.6087,4.9995,4.2774,4.5387,3.6797,4.8744,3.972,2.1322
0.50448,0.91206,0.77758,-0.80653,1.061,0.85806,0.66412,0.20423,1.0902,0.56043,1.2406,1.033,1.0804,1.7493,1.0312,1.0549,0.42158
0.57989,0.86209,0.57718,0.45021,0.65526,0.649,0.51986,0.70602,0.63865,0.65702,0.42672,0.49728,0.76394,0.6211,0.44126,0.63444,0.17474
1.934,2.3005,2.0994,2.1826,2.2914,1.5604,2.1414,1.8952,2.2218,1.6282,1.8473,0.89405,1.1075,1.7518,1.6015,2.1187,0.82706
2.0581,2.7685,1.4362,2.2525,1.7231,2.4349,1.8662,2.2842,2.421,2.1843,2.8117,2.1513,2.6071,2.1527,2.1209,2.4629,0.84739
2.967,3.0407,3.1505,2.7802,3.2013,2.8635,2.9053,3.0232,1.5899,2.1083,1.301,1.9531,1.5987,1.6658,1.9901,3.1667,1.0519
1.6084,1.2825,1.5552,2.1963,1.7719,1.7801,1.6445,1.6914,1.8186,1.2994,1.5591,1.4402,1.2327,2.3087,1.4825,2.029,-0.078966
