AA_Explicit_Hit,AA_Explicit_Miss,EA_Explicit_Hit,EA_Explicit_Miss,AA_Explicit_CR,AA_Explicit_FA,EA_Explicit_CR,EA_Explicit_FA,AA_CM_Hit,AA_CM_Miss,EA_CM_Hit,EA_CM_Miss,AA_CM_CR,AA_CM_FA,EA_CM_CR,EA_CM_FA,leadout_instructions
5.6301,4.2358,5.431,5.7187,5.4139,4.6955,5.8777,5.6056,4.879,4.4158,5.696,5.5228,4.7081,4.6001,4.8969,4.6244,1.9001
3.6226,4.1481,3.9275,3.0661,3.6102,3.8559,3.7557,2.2852,3.0024,2.0412,2.969,2.1787,3.073,3.5194,2.0611,2.319,0.67292
3.0514,2.8001,3.035,2.6997,3.0053,2.7633,2.6917,2.7855,2.3903,2.59,2.6164,2.6171,2.5544,2.4466,2.6168,2.3094,0.90489
3.1061,2.7742,2.7559,2.7682,2.7974,2.7652,2.4587,2.5749,0.87825,1.0303,1.3363,1.0837,0.90542,0.95699,1.2,1.0905,0.70467
0.36871,-0.33914,0.64846,0.20542,0.66657,0.14059,0.41007,-0.14725,0.43734,0.036211,0.60959,-0.16725,-0.32769,0.29724,0.18212,0.81993,0.021446
0.49743,-0.79598,0.51529,-0.45835,0.43143,0.36954,0.38753,0.15892,0.97959,0.83371,0.42814,0.44787,0.50064,0.50175,0.48735,0.9143,0.21404
2.5504,2.2403,2.3561,2.4847,2.2256,2.8312,2.2817,2.1751,1.5357,1.1312,1.0566,0.72763,1.3327,1.2302,0.73825,1.7801,0.69768
2.687,3.5325,2.2501,2.7349,2.857,2.7789,2.0785,2.0688,2.6239,1.9223,3.2192,2.1578,2.1948,2.6823,1.9157,3.5574,0.45744
1.935,1.9589,1.9517,2.2595,1.7468,2.2326,2.0723,2.0626,2.2039,1.8589,2.1917,1.3778,1.3941,2.2028,1.3618,2.1937,0.81586
3.6355,4.1806,3.6877,3.6741,3.9179,3.661,3.5534,3.3913,3.0456,1.8513,3.0281,1.738,2.4829,2.746,2.0911,3.5428,0.50871
2.6586,2.0175,2.7657,2.0122,2.0172,2.8509,2.3192,2.6135,2.5403,2.2891,2.6176,2.0478,1.98,2.6231,1.7264,1.7333,0.78903
2.4122,3.2601,2.4629,2.5748,2.3605,2.4143,2.292,2.6501,2.8296,2.4743,2.5696,2.2422,2.0165,2.6993,2.0706,2.376,0.49114
1.2429,1.2561,1.1731,1.2031,0.87976,0.41842,0.74869,1.2842,0.72093,-0.25217,0.46448,-0.079419,0.14552,0.60937,-0.22239,0.62048,0.38004
2.191,2.4841,2.3382,2.1741,2.0105,2.0987,1.4831,2.7198,3.0519,2.2964,2.7104,1.9288,1.5099,2.0711,2.1181,2.0895,0.23016
0.56634,0.16747,0.87265,1.2529,0.47592,0.6796,1.1307,1.1174,0.93464,1.1747,0.30942,-0.25855,-0.30326,-0.39056,-0.29333,0.71594,0.37109
0.12499,0.1682,-0.3566,0.35212,-0.11281,-1.0607,-0.19799,-0.12278,-0.54591,0.37863,0.062809,-0.1459,0.13176,-0.20287,-0.12819,0.078039,0.40535
2.4822,1.9277,2.1056,1.2796,2.0823,2.4441,1.4879,1.8694,2.0589,1.3368,1.4851,0.9866,1.3113,2.0628,0.99678,0.63891,0.82017
3.4995,3.5206,5.5057,4.0715,4.3909,4.0175,4.5727,4.7971,3.0212,3.811,4.8761,3.5167,4.0897,2.6683,4.1552,2.9637,2.3237
0.91481,1.0871,1.6869,-0.12565,1.8706,1.2463,1.7606,1.0481,1.5377,0.75811,1.6981,1.2944,1.311,1.8163,1.4645,0.75661,0.76201
1.9167,2.5165,2.0938,1.8023,2.6308,2.1866,2.0466,2.1107,1.8599,1.522,1.7722,1.6365,2.3346,1.7148,1.5063,2.3464,0.75403
2.75,2.865,2.929,3.1375,3.1104,2.1888,2.8232,2.6947,3.3385,2.5622,2.9941,1.8227,2.3022,2.9467,2.6269,3.4397,0.93878
1.9668,2.3991,1.2097,1.1576,1.9371,1.6741,1.7509,1.6805,1.2539,1.308,1.5428,1.1038,1.3355,0.73786,0.6641,1.0521,0.63264
2.1194,2.003,2.3641,1.863,2.4062,1.808,2.365,2.2172,1.3271,1.7935,1.2865,2.2062,1.3673,1.8441,1.7119,2.6558,0.65661
1.7395,1.1743,1.6032,2.0494,1.9962,1.7922,1.3945,1.7903,1.6608,1.1334,1.4423,1.5095,1.1529,2.5997,1.3961,2.0969,-0.013534
