correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,subs
1,0.33255,0.66745,2,0.66745,0.33255,0.3349,2,0.16745,1,-0.69668,0.69668,1
1,0.35979,0.64021,2,0.64021,0.35979,0.28043,2,0.14021,1,-0.57629,0.57629,1
1,0.22596,0.77404,2,0.77404,0.22596,0.54808,2,0.27404,1,-1.2313,1.2313,1
1,0.24247,0.75753,2,0.75753,0.24247,0.51507,2,0.25753,1,-1.1392,1.1392,1
1,0.27771,0.72229,2,0.72229,0.27771,0.44459,2,0.22229,1,-0.95587,0.95587,1
1,0.32604,0.67396,2,0.67396,0.32604,0.34791,2,0.17396,1,-0.72613,0.72613,1
1,0.20682,0.79318,2,0.79318,0.20682,0.58637,2,0.29318,1,-1.3442,1.3442,1
1,0.17247,0.82753,2,0.82753,0.17247,0.65507,2,0.32753,1,-1.5683,1.5683,1
1,0.22675,0.77325,2,0.77325,0.22675,0.54649,2,0.27325,1,-1.2267,1.2267,1
1,0.19497,0.80503,2,0.80503,0.19497,0.61006,2,0.30503,1,-1.418,1.418,1
1,0.87586,0.12414,1,0.87586,0.12414,0.75171,1,0.37586,1,1.9538,1.9538,1
1,0.79067,0.20933,1,0.79067,0.20933,0.58134,1,0.29067,1,1.329,1.329,1
1,0.81583,0.18417,1,0.81583,0.18417,0.63167,1,0.31583,1,1.4884,1.4884,1
1,0.77545,0.22455,1,0.77545,0.22455,0.5509,1,0.27545,1,1.2393,1.2393,1
1,0.76341,0.23659,1,0.76341,0.23659,0.52682,1,0.26341,1,1.1715,1.1715,1
1,0.775,0.225,1,0.775,0.225,0.54999,1,0.275,1,1.2367,1.2367,1
1,0.54727,0.45273,1,0.54727,0.45273,0.094537,1,0.047268,1,0.18964,0.18964,1
1,0.84186,0.15814,1,0.84186,0.15814,0.68372,1,0.34186,1,1.6721,1.6721,1
1,0.78592,0.21408,1,0.78592,0.21408,0.57184,1,0.28592,1,1.3005,1.3005,1
1,0.25273,0.74727,2,0.74727,0.25273,0.49454,2,0.24727,1,-1.0841,1.0841,1
1,0.25068,0.74932,2,0.74932,0.25068,0.49864,2,0.24932,1,-1.095,1.095,1
1,0.25023,0.74977,2,0.74977,0.25023,0.49953,2,0.24977,1,-1.0974,1.0974,1
1,0.27873,0.72127,2,0.72127,0.27873,0.44254,2,0.22127,1,-0.95077,0.95077,1
1,0.24177,0.75823,2,0.75823,0.24177,0.51646,2,0.25823,1,-1.143,1.143,1
1,0.20827,0.79173,2,0.79173,0.20827,0.58347,2,0.29173,1,-1.3354,1.3354,1
1,0.22883,0.77117,2,0.77117,0.22883,0.54235,2,0.27117,1,-1.2149,1.2149,1
1,0.15165,0.84835,2,0.84835,0.15165,0.69671,2,0.34835,1,-1.7217,1.7217,1
1,0.22288,0.77712,2,0.77712,0.22288,0.55423,2,0.27712,1,-1.2489,1.2489,1
1,0.2147,0.7853,2,0.7853,0.2147,0.5706,2,0.2853,1,-1.2968,1.2968,1
0,0.92773,0.072267,2,0.072267,0.92773,-0.85547,1,-0.42773,1,2.5524,-2.5524,1
0,0.91035,0.089648,2,0.089648,0.91035,-0.8207,1,-0.41035,1,2.3179,-2.3179,1
0,0.87639,0.12361,2,0.12361,0.87639,-0.75278,1,-0.37639,1,1.9587,-1.9587,1
0,0.90675,0.093248,2,0.093248,0.90675,-0.8135,1,-0.40675,1,2.2746,-2.2746,1
0,0.94456,0.055442,2,0.055442,0.94456,-0.88912,1,-0.44456,1,2.8354,-2.8354,1
0,0.85687,0.14313,2,0.14313,0.85687,-0.71375,1,-0.35687,1,1.7896,-1.7896,1
0,0.90749,0.092509,2,0.092509,0.90749,-0.81498,1,-0.40749,1,2.2834,-2.2834,1
0,0.89256,0.10744,2,0.10744,0.89256,-0.78512,1,-0.39256,1,2.1172,-2.1172,1
0,0.88924,0.11076,2,0.11076,0.88924,-0.77848,1,-0.38924,1,2.083,-2.083,1
0,0.8911,0.1089,2,0.1089,0.8911,-0.7822,1,-0.3911,1,2.102,-2.102,1
1,0.83369,0.16631,1,0.83369,0.16631,0.66738,1,0.33369,1,1.612,1.612,1
1,0.84858,0.15142,1,0.84858,0.15142,0.69716,1,0.34858,1,1.7235,1.7235,1
1,0.79944,0.20056,1,0.79944,0.20056,0.59888,1,0.29944,1,1.3828,1.3828,1
1,0.77428,0.22572,1,0.77428,0.22572,0.54857,1,0.27428,1,1.2327,1.2327,1
1,0.81948,0.18052,1,0.81948,0.18052,0.63896,1,0.31948,1,1.5128,1.5128,1
1,0.80238,0.19762,1,0.80238,0.19762,0.60475,1,0.30238,1,1.4012,1.4012,1
1,0.8699,0.1301,1,0.8699,0.1301,0.7398,1,0.3699,1,1.9001,1.9001,1
1,0.75829,0.24171,1,0.75829,0.24171,0.51657,1,0.25829,1,1.1433,1.1433,1
1,0.811,0.189,1,0.811,0.189,0.622,1,0.311,1,1.4565,1.4565,1
1,0.53665,0.46335,1,0.53665,0.46335,0.0733,1,0.03665,1,0.14686,0.14686,1
0,0.48406,0.51594,1,0.48406,0.51594,-0.031876,2,-0.015938,1,-0.063773,-0.063773,1
0,0.34368,0.65632,1,0.34368,0.65632,-0.31263,2,-0.15632,1,-0.64692,-0.64692,1
0,0.35444,0.64556,1,0.35444,0.64556,-0.29112,2,-0.14556,1,-0.59958,-0.59958,1
0,0.44189,0.55811,1,0.44189,0.55811,-0.11623,2,-0.058113,1,-0.23351,-0.23351,1
0,0.39322,0.60678,1,0.39322,0.60678,-0.21357,2,-0.10678,1,-0.43381,-0.43381,1
1,0.51838,0.48162,1,0.51838,0.48162,0.03676,1,0.01838,1,0.073553,0.073553,1
0,0.39742,0.60258,1,0.39742,0.60258,-0.20516,2,-0.10258,1,-0.41622,-0.41622,1
0,0.33755,0.66245,1,0.33755,0.66245,-0.32489,2,-0.16245,1,-0.67421,-0.67421,1
1,0.82185,0.17815,1,0.82185,0.17815,0.6437,1,0.32185,1,1.5289,1.5289,1
1,0.80248,0.19752,1,0.80248,0.19752,0.60495,1,0.30248,1,1.4018,1.4018,1
1,0.90012,0.099883,1,0.90012,0.099883,0.80023,1,0.40012,1,2.1985,2.1985,1
1,0.8394,0.1606,1,0.8394,0.1606,0.67879,1,0.3394,1,1.6537,1.6537,1
1,0.77628,0.22372,1,0.77628,0.22372,0.55255,1,0.27628,1,1.2441,1.2441,1
1,0.82702,0.17298,1,0.82702,0.17298,0.65403,1,0.32702,1,1.5646,1.5646,1
1,0.83427,0.16573,1,0.83427,0.16573,0.66854,1,0.33427,1,1.6162,1.6162,1
1,0.81587,0.18413,1,0.81587,0.18413,0.63174,1,0.31587,1,1.4886,1.4886,1
1,0.89289,0.10711,1,0.89289,0.10711,0.78577,1,0.39289,1,2.1206,2.1206,1
1,0.88189,0.11811,1,0.88189,0.11811,0.76378,1,0.38189,1,2.0105,2.0105,1
0,0.2003,0.7997,1,0.2003,0.7997,-0.5994,2,-0.2997,1,-1.3844,-1.3844,1
0,0.12816,0.87184,1,0.12816,0.87184,-0.74368,2,-0.37184,1,-1.9173,-1.9173,1
0,0.18131,0.81869,1,0.18131,0.81869,-0.63738,2,-0.31869,1,-1.5075,-1.5075,1
0,0.17074,0.82926,1,0.17074,0.82926,-0.65852,2,-0.32926,1,-1.5804,-1.5804,1
0,0.16784,0.83216,1,0.16784,0.83216,-0.66433,2,-0.33216,1,-1.601,-1.601,1
0,0.2233,0.7767,1,0.2233,0.7767,-0.55341,2,-0.2767,1,-1.2466,-1.2466,1
0,0.14983,0.85017,1,0.14983,0.85017,-0.70034,2,-0.35017,1,-1.7359,-1.7359,1
0,0.13822,0.86178,1,0.13822,0.86178,-0.72355,2,-0.36178,1,-1.8301,-1.8301,1
0,0.16764,0.83236,1,0.16764,0.83236,-0.66471,2,-0.33236,1,-1.6024,-1.6024,1
0,0.1765,0.8235,1,0.1765,0.8235,-0.647,2,-0.3235,1,-1.5402,-1.5402,1
0,0.43338,0.56662,1,0.43338,0.56662,-0.13323,2,-0.066617,1,-0.26806,-0.26806,1
1,0.50075,0.49925,1,0.50075,0.49925,0.0015099,1,0.00075495,1,0.0030198,0.0030198,1
0,0.41079,0.58921,1,0.41079,0.58921,-0.17842,2,-0.089208,1,-0.36069,-0.36069,1
0,0.32779,0.67221,1,0.32779,0.67221,-0.34443,2,-0.17221,1,-0.71822,-0.71822,1
0,0.47726,0.52274,1,0.47726,0.52274,-0.045485,2,-0.022743,1,-0.091033,-0.091033,1
0,0.40014,0.59986,1,0.40014,0.59986,-0.19973,2,-0.099865,1,-0.4049,-0.4049,1
0,0.43871,0.56129,1,0.43871,0.56129,-0.12259,2,-0.061295,1,-0.24642,-0.24642,1
0,0.43346,0.56654,1,0.43346,0.56654,-0.13307,2,-0.066537,1,-0.26774,-0.26774,1
0,0.43163,0.56837,1,0.43163,0.56837,-0.13674,2,-0.06837,1,-0.2752,-0.2752,1
0,0.31117,0.68883,1,0.31117,0.68883,-0.37767,2,-0.18883,1,-0.79467,-0.79467,1
0,0.68199,0.31801,2,0.31801,0.68199,-0.36397,1,-0.18199,1,0.76291,-0.76291,1
0,0.5708,0.4292,2,0.4292,0.5708,-0.14161,1,-0.070803,1,0.28513,-0.28513,1
0,0.74608,0.25392,2,0.25392,0.74608,-0.49215,1,-0.24608,1,1.0778,-1.0778,1
1,0.48039,0.51961,2,0.51961,0.48039,0.039223,2,0.019612,1,-0.078487,0.078487,1
0,0.62224,0.37776,2,0.37776,0.62224,-0.24448,1,-0.12224,1,0.49907,-0.49907,1
0,0.61013,0.38987,2,0.38987,0.61013,-0.22025,1,-0.11013,1,0.44784,-0.44784,1
0,0.7359,0.2641,2,0.2641,0.7359,-0.47179,1,-0.2359,1,1.0248,-1.0248,1
1,0.41333,0.58667,2,0.58667,0.41333,0.17334,2,0.086672,1,-0.35023,0.35023,1
0,0.6237,0.3763,2,0.3763,0.6237,-0.24741,1,-0.1237,1,0.5053,-0.5053,1
0,0.64503,0.35497,2,0.35497,0.64503,-0.29007,1,-0.14503,1,0.59728,-0.59728,1
0,0.90602,0.093978,2,0.093978,0.90602,-0.81204,1,-0.40602,1,2.266,-2.266,1
0,0.90724,0.092761,2,0.092761,0.90724,-0.81448,1,-0.40724,1,2.2804,-2.2804,1
0,0.85904,0.14096,2,0.14096,0.85904,-0.71808,1,-0.35904,1,1.8073,-1.8073,1
0,0.85523,0.14477,2,0.14477,0.85523,-0.71046,1,-0.35523,1,1.7762,-1.7762,1
0,0.8758,0.1242,2,0.1242,0.8758,-0.75161,1,-0.3758,1,1.9533,-1.9533,1
0,0.89098,0.10902,2,0.10902,0.89098,-0.78197,1,-0.39098,1,2.1008,-2.1008,1
0,0.88141,0.11859,2,0.11859,0.88141,-0.76282,1,-0.38141,1,2.0059,-2.0059,1
0,0.80031,0.19969,2,0.19969,0.80031,-0.60061,1,-0.30031,1,1.3882,-1.3882,1
0,0.85827,0.14173,2,0.14173,0.85827,-0.71655,1,-0.35827,1,1.801,-1.801,1
0,0.88301,0.11699,2,0.11699,0.88301,-0.76602,1,-0.38301,1,2.0212,-2.0212,1
0,0.78084,0.21916,2,0.21916,0.78084,-0.56168,1,-0.28084,1,1.2706,-1.2706,1
0,0.56885,0.43115,2,0.43115,0.56885,-0.1377,1,-0.068849,1,0.27716,-0.27716,1
0,0.80484,0.19516,2,0.19516,0.80484,-0.60968,1,-0.30484,1,1.4168,-1.4168,1
0,0.6775,0.3225,2,0.3225,0.6775,-0.355,1,-0.1775,1,0.74231,-0.74231,1
0,0.8266,0.1734,2,0.1734,0.8266,-0.6532,1,-0.3266,1,1.5617,-1.5617,1
0,0.66856,0.33144,2,0.33144,0.66856,-0.33712,1,-0.16856,1,0.70167,-0.70167,1
0,0.81931,0.18069,2,0.18069,0.81931,-0.63862,1,-0.31931,1,1.5117,-1.5117,1
0,0.75572,0.24428,2,0.24428,0.75572,-0.51143,1,-0.25572,1,1.1293,-1.1293,1
0,0.67296,0.32704,2,0.32704,0.67296,-0.34592,1,-0.17296,1,0.7216,-0.7216,1
0,0.75614,0.24386,2,0.24386,0.75614,-0.51227,1,-0.25614,1,1.1316,-1.1316,1
0,0.066605,0.93339,1,0.066605,0.93339,-0.86679,2,-0.43339,1,-2.64,-2.64,1
0,0.07347,0.92653,1,0.07347,0.92653,-0.85306,2,-0.42653,1,-2.5346,-2.5346,1
0,0.052683,0.94732,1,0.052683,0.94732,-0.89463,2,-0.44732,1,-2.8893,-2.8893,1
0,0.08941,0.91059,1,0.08941,0.91059,-0.82118,2,-0.41059,1,-2.3209,-2.3209,1
0,0.090933,0.90907,1,0.090933,0.90907,-0.81813,2,-0.40907,1,-2.3023,-2.3023,1
