correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,subs
1,0.15987,0.84013,2,0.84013,0.15987,0.68027,2,0.34013,1,-1.6592,1.6592,1
1,0.32841,0.67159,2,0.67159,0.32841,0.34318,2,0.17159,1,-0.71538,0.71538,1
1,0.14868,0.85132,2,0.85132,0.14868,0.70263,2,0.35132,1,-1.745,1.745,1
1,0.095747,0.90425,2,0.90425,0.095747,0.80851,2,0.40425,1,-2.2454,2.2454,1
1,0.18266,0.81734,2,0.81734,0.18266,0.63467,2,0.31734,1,-1.4984,1.4984,1
1,0.19201,0.80799,2,0.80799,0.19201,0.61598,2,0.30799,1,-1.437,1.437,1
1,0.1257,0.8743,2,0.8743,0.1257,0.74859,2,0.3743,1,-1.9395,1.9395,1
1,0.11051,0.88949,2,0.88949,0.11051,0.77899,2,0.38949,1,-2.0856,2.0856,1
1,0.1092,0.8908,2,0.8908,0.1092,0.7816,2,0.3908,1,-2.0989,2.0989,1
1,0.13619,0.86381,2,0.86381,0.13619,0.72763,2,0.36381,1,-1.8473,1.8473,1
0,0.49103,0.50897,1,0.49103,0.50897,-0.017932,2,-0.0089661,1,-0.035868,-0.035868,1
1,0.63324,0.36676,1,0.63324,0.36676,0.26647,1,0.13324,1,0.54612,0.54612,1
1,0.51905,0.48095,1,0.51905,0.48095,0.038109,1,0.019055,1,0.076256,0.076256,1
1,0.6538,0.3462,1,0.6538,0.3462,0.30759,1,0.1538,1,0.63577,0.63577,1
1,0.62265,0.37735,1,0.62265,0.37735,0.24529,1,0.12265,1,0.5008,0.5008,1
1,0.68584,0.31416,1,0.68584,0.31416,0.37167,1,0.18584,1,0.78073,0.78073,1
1,0.72622,0.27378,1,0.72622,0.27378,0.45244,1,0.22622,1,0.97553,0.97553,1
1,0.71988,0.28012,1,0.71988,0.28012,0.43975,1,0.21988,1,0.94385,0.94385,1
1,0.40385,0.59615,2,0.59615,0.40385,0.1923,2,0.096149,1,-0.38945,0.38945,1
1,0.39116,0.60884,2,0.60884,0.39116,0.21768,2,0.10884,1,-0.44243,0.44243,1
1,0.49241,0.50759,2,0.50759,0.49241,0.015171,2,0.0075855,1,-0.030344,0.030344,1
0,0.51375,0.48625,2,0.48625,0.51375,-0.027495,1,-0.013747,1,0.055004,-0.055004,1
1,0.38218,0.61782,2,0.61782,0.38218,0.23565,2,0.11782,1,-0.48032,0.48032,1
0,0.61126,0.38874,2,0.38874,0.61126,-0.22252,1,-0.11126,1,0.45262,-0.45262,1
1,0.46905,0.53095,2,0.53095,0.46905,0.061907,2,0.030953,1,-0.12397,0.12397,1
1,0.43921,0.56079,2,0.56079,0.43921,0.12157,2,0.060787,1,-0.24435,0.24435,1
0,0.60257,0.39743,2,0.39743,0.60257,-0.20514,1,-0.10257,1,0.41618,-0.41618,1
1,0.42184,0.57816,2,0.57816,0.42184,0.15631,2,0.078157,1,-0.31521,0.31521,1
0,0.83796,0.16204,2,0.16204,0.83796,-0.67592,1,-0.33796,1,1.6431,-1.6431,1
0,0.85516,0.14484,2,0.14484,0.85516,-0.71031,1,-0.35516,1,1.7756,-1.7756,1
0,0.75129,0.24871,2,0.24871,0.75129,-0.50258,1,-0.25129,1,1.1055,-1.1055,1
0,0.77541,0.22459,2,0.22459,0.77541,-0.55082,1,-0.27541,1,1.2391,-1.2391,1
0,0.83394,0.16606,2,0.16606,0.83394,-0.66787,1,-0.33394,1,1.6138,-1.6138,1
0,0.82539,0.17461,2,0.17461,0.82539,-0.65079,1,-0.32539,1,1.5533,-1.5533,1
0,0.84903,0.15097,2,0.15097,0.84903,-0.69806,1,-0.34903,1,1.727,-1.727,1
0,0.87063,0.12937,2,0.12937,0.87063,-0.74126,1,-0.37063,1,1.9066,-1.9066,1
0,0.88463,0.11537,2,0.11537,0.88463,-0.76926,1,-0.38463,1,2.037,-2.037,1
0,0.81236,0.18764,2,0.18764,0.81236,-0.62472,1,-0.31236,1,1.4654,-1.4654,1
1,0.70253,0.29747,1,0.70253,0.29747,0.40507,1,0.20253,1,0.85939,0.85939,1
1,0.78565,0.21435,1,0.78565,0.21435,0.5713,1,0.28565,1,1.2989,1.2989,1
1,0.71539,0.28461,1,0.71539,0.28461,0.43077,1,0.21539,1,0.92169,0.92169,1
1,0.68938,0.31062,1,0.68938,0.31062,0.37877,1,0.18938,1,0.79724,0.79724,1
1,0.77746,0.22254,1,0.77746,0.22254,0.55492,1,0.27746,1,1.2509,1.2509,1
1,0.70733,0.29267,1,0.70733,0.29267,0.41466,1,0.20733,1,0.88246,0.88246,1
1,0.76247,0.23753,1,0.76247,0.23753,0.52495,1,0.26247,1,1.1663,1.1663,1
1,0.798,0.202,1,0.798,0.202,0.596,1,0.298,1,1.3739,1.3739,1
1,0.73702,0.26298,1,0.73702,0.26298,0.47403,1,0.23702,1,1.0305,1.0305,1
1,0.78349,0.21651,1,0.78349,0.21651,0.56698,1,0.28349,1,1.2861,1.2861,1
1,0.51761,0.48239,1,0.51761,0.48239,0.035216,1,0.017608,1,0.070461,0.070461,1
1,0.51748,0.48252,1,0.51748,0.48252,0.034964,1,0.017482,1,0.069957,0.069957,1
0,0.45539,0.54461,1,0.45539,0.54461,-0.08922,2,-0.04461,1,-0.17892,-0.17892,1
0,0.37726,0.62274,1,0.37726,0.62274,-0.24548,2,-0.12274,1,-0.50119,-0.50119,1
0,0.43273,0.56727,1,0.43273,0.56727,-0.13455,2,-0.067274,1,-0.27074,-0.27074,1
0,0.45522,0.54478,1,0.45522,0.54478,-0.089552,2,-0.044776,1,-0.17958,-0.17958,1
0,0.27461,0.72539,1,0.27461,0.72539,-0.45078,2,-0.22539,1,-0.97136,-0.97136,1
0,0.37637,0.62363,1,0.37637,0.62363,-0.24726,2,-0.12363,1,-0.50499,-0.50499,1
0,0.33556,0.66444,1,0.33556,0.66444,-0.32887,2,-0.16444,1,-0.68313,-0.68313,1
0,0.24532,0.75468,1,0.24532,0.75468,-0.50936,2,-0.25468,1,-1.1237,-1.1237,1
0,0.33127,0.66873,1,0.33127,0.66873,-0.33745,2,-0.16873,1,-0.70243,-0.70243,1
0,0.33139,0.66861,1,0.33139,0.66861,-0.33721,2,-0.16861,1,-0.70189,-0.70189,1
0,0.20413,0.79587,1,0.20413,0.79587,-0.59173,2,-0.29587,1,-1.3606,-1.3606,1
0,0.32111,0.67889,1,0.32111,0.67889,-0.35778,2,-0.17889,1,-0.74868,-0.74868,1
1,0.54859,0.45141,1,0.54859,0.45141,0.097181,1,0.04859,1,0.19498,0.19498,1
0,0.28659,0.71341,1,0.28659,0.71341,-0.42683,2,-0.21341,1,-0.91202,-0.91202,1
