correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,subs
1,0.11505,0.88495,2,0.88495,0.11505,0.7699,2,0.38495,1,-2.0402,2.0402,1
1,0.24406,0.75594,2,0.75594,0.24406,0.51188,2,0.25594,1,-1.1305,1.1305,1
1,0.16777,0.83223,2,0.83223,0.16777,0.66445,2,0.33223,1,-1.6015,1.6015,1
1,0.13724,0.86276,2,0.86276,0.13724,0.72552,2,0.36276,1,-1.8384,1.8384,1
1,0.17257,0.82743,2,0.82743,0.17257,0.65486,2,0.32743,1,-1.5675,1.5675,1
1,0.18329,0.81671,2,0.81671,0.18329,0.63342,2,0.31671,1,-1.4942,1.4942,1
1,0.12653,0.87347,2,0.87347,0.12653,0.74693,2,0.37347,1,-1.932,1.932,1
1,0.24369,0.75631,2,0.75631,0.24369,0.51262,2,0.25631,1,-1.1326,1.1326,1
1,0.21568,0.78432,2,0.78432,0.21568,0.56865,2,0.28432,1,-1.291,1.291,1
1,0.22715,0.77285,2,0.77285,0.22715,0.5457,2,0.27285,1,-1.2245,1.2245,1
1,0.90331,0.096691,1,0.90331,0.096691,0.80662,1,0.40331,1,2.2345,2.2345,1
1,0.92794,0.07206,1,0.92794,0.07206,0.85588,1,0.42794,1,2.5555,2.5555,1
1,0.92602,0.073981,1,0.92602,0.073981,0.85204,1,0.42602,1,2.5271,2.5271,1
1,0.94424,0.055757,1,0.94424,0.055757,0.88849,1,0.44424,1,2.8294,2.8294,1
1,0.89595,0.10405,1,0.89595,0.10405,0.79189,1,0.39595,1,2.153,2.153,1
1,0.90867,0.091326,1,0.90867,0.091326,0.81735,1,0.40867,1,2.2976,2.2976,1
1,0.82841,0.17159,1,0.82841,0.17159,0.65682,1,0.32841,1,1.5744,1.5744,1
1,0.87852,0.12148,1,0.87852,0.12148,0.75705,1,0.37852,1,1.9785,1.9785,1
1,0.96858,0.031415,1,0.96858,0.031415,0.93717,1,0.46858,1,3.4285,3.4285,1
1,0.95608,0.043924,1,0.95608,0.043924,0.91215,1,0.45608,1,3.0804,3.0804,1
1,0.27443,0.72557,2,0.72557,0.27443,0.45114,2,0.22557,1,-0.97226,0.97226,1
1,0.16994,0.83006,2,0.83006,0.16994,0.66012,2,0.33006,1,-1.586,1.586,1
1,0.11463,0.88537,2,0.88537,0.11463,0.77074,2,0.38537,1,-2.0443,2.0443,1
1,0.24448,0.75552,2,0.75552,0.24448,0.51104,2,0.25552,1,-1.1283,1.1283,1
1,0.41358,0.58642,2,0.58642,0.41358,0.17285,2,0.086424,1,-0.3492,0.3492,1
1,0.26936,0.73064,2,0.73064,0.26936,0.46129,2,0.23064,1,-0.99789,0.99789,1
1,0.27035,0.72965,2,0.72965,0.27035,0.4593,2,0.22965,1,-0.99285,0.99285,1
1,0.15082,0.84918,2,0.84918,0.15082,0.69835,2,0.34918,1,-1.7282,1.7282,1
1,0.13743,0.86257,2,0.86257,0.13743,0.72515,2,0.36257,1,-1.8368,1.8368,1
1,0.33836,0.66164,2,0.66164,0.33836,0.32328,2,0.16164,1,-0.67061,0.67061,1
1,0.62145,0.37855,1,0.62145,0.37855,0.24291,1,0.12145,1,0.49572,0.49572,1
1,0.55238,0.44762,1,0.55238,0.44762,0.10476,1,0.052378,1,0.21028,0.21028,1
0,0.46416,0.53584,1,0.46416,0.53584,-0.071684,2,-0.035842,1,-0.14361,-0.14361,1
1,0.57085,0.42915,1,0.57085,0.42915,0.1417,1,0.070851,1,0.28532,0.28532,1
1,0.60556,0.39444,1,0.60556,0.39444,0.21111,1,0.10556,1,0.42868,0.42868,1
1,0.56447,0.43553,1,0.56447,0.43553,0.12895,1,0.064475,1,0.25934,0.25934,1
1,0.71686,0.28314,1,0.71686,0.28314,0.43372,1,0.21686,1,0.92893,0.92893,1
1,0.53916,0.46084,1,0.53916,0.46084,0.078321,1,0.03916,1,0.15696,0.15696,1
1,0.59103,0.40897,1,0.59103,0.40897,0.18206,1,0.091029,1,0.36822,0.36822,1
1,0.66732,0.33268,1,0.66732,0.33268,0.33464,1,0.16732,1,0.6961,0.6961,1
0,0.83417,0.16583,2,0.16583,0.83417,-0.66834,1,-0.33417,1,1.6155,-1.6155,1
0,0.8727,0.1273,2,0.1273,0.8727,-0.7454,1,-0.3727,1,1.925,-1.925,1
0,0.91532,0.084678,2,0.084678,0.91532,-0.83064,1,-0.41532,1,2.3804,-2.3804,1
0,0.86912,0.13088,2,0.13088,0.86912,-0.73824,1,-0.36912,1,1.8932,-1.8932,1
0,0.67353,0.32647,2,0.32647,0.67353,-0.34706,1,-0.17353,1,0.7242,-0.7242,1
0,0.87623,0.12377,2,0.12377,0.87623,-0.75247,1,-0.37623,1,1.9572,-1.9572,1
0,0.79986,0.20014,2,0.20014,0.79986,-0.59972,1,-0.29986,1,1.3854,-1.3854,1
0,0.85432,0.14568,2,0.14568,0.85432,-0.70863,1,-0.35432,1,1.7689,-1.7689,1
0,0.82849,0.17151,2,0.17151,0.82849,-0.65699,1,-0.32849,1,1.575,-1.575,1
0,0.80255,0.19745,2,0.19745,0.80255,-0.60509,1,-0.30255,1,1.4023,-1.4023,1
1,0.87275,0.12725,1,0.87275,0.12725,0.74551,1,0.37275,1,1.9255,1.9255,1
1,0.83806,0.16194,1,0.83806,0.16194,0.67611,1,0.33806,1,1.6438,1.6438,1
1,0.78458,0.21542,1,0.78458,0.21542,0.56917,1,0.28458,1,1.2926,1.2926,1
1,0.89008,0.10992,1,0.89008,0.10992,0.78015,1,0.39008,1,2.0915,2.0915,1
1,0.81379,0.18621,1,0.81379,0.18621,0.62757,1,0.31379,1,1.4748,1.4748,1
1,0.80764,0.19236,1,0.80764,0.19236,0.61529,1,0.30764,1,1.4348,1.4348,1
1,0.92438,0.075619,1,0.92438,0.075619,0.84876,1,0.42438,1,2.5034,2.5034,1
1,0.96042,0.039582,1,0.96042,0.039582,0.92084,1,0.46042,1,3.189,3.189,1
1,0.75703,0.24297,1,0.75703,0.24297,0.51406,1,0.25703,1,1.1365,1.1365,1
0,0.24874,0.75126,1,0.24874,0.75126,-0.50252,2,-0.25126,1,-1.1053,-1.1053,1
0,0.29989,0.70011,1,0.29989,0.70011,-0.40022,2,-0.20011,1,-0.84782,-0.84782,1
1,0.62694,0.37306,1,0.62694,0.37306,0.25387,1,0.12694,1,0.5191,0.5191,1
0,0.42321,0.57679,1,0.42321,0.57679,-0.15357,2,-0.076785,1,-0.30959,-0.30959,1
0,0.45536,0.54464,1,0.45536,0.54464,-0.08928,2,-0.04464,1,-0.17904,-0.17904,1
0,0.17958,0.82042,1,0.17958,0.82042,-0.64083,2,-0.32042,1,-1.5192,-1.5192,1
0,0.42654,0.57346,1,0.42654,0.57346,-0.14693,2,-0.073464,1,-0.296,-0.296,1
0,0.23541,0.76459,1,0.23541,0.76459,-0.52919,2,-0.26459,1,-1.178,-1.178,1
0,0.28884,0.71116,1,0.28884,0.71116,-0.42231,2,-0.21116,1,-0.90101,-0.90101,1
1,0.097063,0.90294,2,0.90294,0.097063,0.80587,2,0.40294,1,-2.2303,2.2303,1
1,0.11464,0.88536,2,0.88536,0.11464,0.77073,2,0.38536,1,-2.0442,2.0442,1
1,0.044989,0.95501,2,0.95501,0.044989,0.91002,2,0.45501,1,-3.0553,3.0553,1
1,0.081131,0.91887,2,0.91887,0.081131,0.83774,2,0.41887,1,-2.4271,2.4271,1
1,0.10901,0.89099,2,0.89099,0.10901,0.78198,2,0.39099,1,-2.1009,2.1009,1
1,0.1293,0.8707,2,0.8707,0.1293,0.7414,2,0.3707,1,-1.9072,1.9072,1
1,0.15134,0.84866,2,0.84866,0.15134,0.69732,2,0.34866,1,-1.7241,1.7241,1
1,0.12705,0.87295,2,0.87295,0.12705,0.7459,2,0.37295,1,-1.9273,1.9273,1
1,0.062898,0.9371,2,0.9371,0.062898,0.8742,2,0.4371,1,-2.7013,2.7013,1
1,0.12858,0.87142,2,0.87142,0.12858,0.74283,2,0.37142,1,-1.9135,1.9135,1
0,0.57902,0.42098,2,0.42098,0.57902,-0.15805,1,-0.079024,1,0.31877,-0.31877,1
0,0.65576,0.34424,2,0.34424,0.65576,-0.31151,1,-0.15576,1,0.64444,-0.64444,1
0,0.56042,0.43958,2,0.43958,0.56042,-0.12085,1,-0.060424,1,0.24288,-0.24288,1
0,0.5249,0.4751,2,0.4751,0.5249,-0.049795,1,-0.024897,1,0.099672,-0.099672,1
0,0.65487,0.34513,2,0.34513,0.65487,-0.30974,1,-0.15487,1,0.64052,-0.64052,1
0,0.68777,0.31223,2,0.31223,0.68777,-0.37555,1,-0.18777,1,0.78973,-0.78973,1
0,0.5837,0.4163,2,0.4163,0.5837,-0.1674,1,-0.083699,1,0.33798,-0.33798,1
0,0.65047,0.34953,2,0.34953,0.65047,-0.30093,1,-0.15047,1,0.62109,-0.62109,1
0,0.50714,0.49286,2,0.49286,0.50714,-0.014284,1,-0.0071421,1,0.02857,-0.02857,1
0,0.51901,0.48099,2,0.48099,0.51901,-0.038012,1,-0.019006,1,0.07606,-0.07606,1
1,0.95673,0.043268,1,0.95673,0.043268,0.91346,1,0.45673,1,3.0961,3.0961,1
1,0.95378,0.046218,1,0.95378,0.046218,0.90756,1,0.45378,1,3.0271,3.0271,1
1,0.91484,0.085159,1,0.91484,0.085159,0.82968,1,0.41484,1,2.3742,2.3742,1
1,0.9557,0.044303,1,0.9557,0.044303,0.91139,1,0.4557,1,3.0714,3.0714,1
1,0.96719,0.032813,1,0.96719,0.032813,0.93437,1,0.46719,1,3.3836,3.3836,1
1,0.95507,0.044931,1,0.95507,0.044931,0.91014,1,0.45507,1,3.0567,3.0567,1
1,0.94571,0.054295,1,0.94571,0.054295,0.89141,1,0.44571,1,2.8575,2.8575,1
1,0.95384,0.046156,1,0.95384,0.046156,0.90769,1,0.45384,1,3.0285,3.0285,1
1,0.97601,0.023991,1,0.97601,0.023991,0.95202,1,0.47601,1,3.7058,3.7058,1
0,0.5684,0.4316,2,0.4316,0.5684,-0.1368,1,-0.068402,1,0.27533,-0.27533,1
1,0.49779,0.50221,2,0.50221,0.49779,0.0044173,2,0.0022086,1,-0.0088345,0.0088347,1
0,0.94002,0.059984,2,0.059984,0.94002,-0.88003,1,-0.44002,1,2.7518,-2.7518,1
0,0.75751,0.24249,2,0.24249,0.75751,-0.51502,1,-0.25751,1,1.1391,-1.1391,1
1,0.24787,0.75213,2,0.75213,0.24787,0.50426,2,0.25213,1,-1.11,1.11,1
1,0.4311,0.5689,2,0.5689,0.4311,0.13779,2,0.068895,1,-0.27734,0.27734,1
0,0.51276,0.48724,2,0.48724,0.51276,-0.025527,1,-0.012764,1,0.051066,-0.051066,1
1,0.44443,0.55557,2,0.55557,0.44443,0.11113,2,0.055566,1,-0.22319,0.22319,1
0,0.67429,0.32571,2,0.32571,0.67429,-0.34859,1,-0.17429,1,0.72767,-0.72767,1
1,0.45196,0.54804,2,0.54804,0.45196,0.096079,2,0.04804,1,-0.19275,0.19275,1
